43.175.131.30:443#HKG-131.39MB/s-延迟: 38.81ms
43.175.131.30:443#HKG-106.40MB/s-延迟: 178.18ms
104.18.38.47:443#SIN-39.33MB/s-延迟: 79.57ms
8.222.84.103:443#HKG-29.38MB/s-延迟: 197.07ms
45.135.119.71:2087#HKG-27.21MB/s-延迟: 93.32ms
91.110.174.201:8443#HKG-26.84MB/s-延迟: 67.60ms
91.110.174.198:8443#HKG-24.64MB/s-延迟: 74.90ms
47.76.226.236:443#SIN-23.62MB/s-延迟: 77.74ms
91.110.174.190:8443#HKG-22.78MB/s-延迟: 67.32ms
166.88.77.236:443#HKG-20.33MB/s-延迟: 126.35ms
166.88.11.211:443#HKG-20.19MB/s-延迟: 121.33ms
38.207.133.195:8443#HKG-20.14MB/s-延迟: 138.88ms
43.159.12.36:443#HKG-20.14MB/s-延迟: 59.70ms
23.26.201.11:443#HKG-18.72MB/s-延迟: 189.25ms
198.20.133.223:443#HKG-18.65MB/s-延迟: 113.66ms
108.165.100.62:443#HKG-17.37MB/s-延迟: 113.46ms
23.26.201.79:443#HKG-16.98MB/s-延迟: 110.61ms
45.192.200.133:443#NRT-15.59MB/s-延迟: 191.45ms
38.55.111.161:443#LAX-12.32MB/s-延迟: 183.35ms
209.146.114.220:17772#LAX-12.23MB/s-延迟: 199.51ms
38.207.186.19:443#LAX-11.59MB/s-延迟: 240.22ms
38.59.246.45:443#SJC-11.15MB/s-延迟: 282.56ms
185.148.14.123:44195#SJC-11.15MB/s-延迟: 201.77ms
38.59.241.103:26635#SJC-11.09MB/s-延迟: 578.75ms
38.59.249.199:53235#SJC-11.06MB/s-延迟: 318.10ms
103.136.185.148:29262#SJC-11.04MB/s-延迟: 191.84ms
38.59.242.138:17338#SJC-11.04MB/s-延迟: 420.16ms
154.21.82.1:48080#LAX-10.65MB/s-延迟: 298.61ms
38.59.244.38:443#SJC-10.56MB/s-延迟: 446.60ms
38.59.240.150:16252#SJC-10.52MB/s-延迟: 194.90ms
38.59.240.37:46447#SJC-10.50MB/s-延迟: 285.44ms
64.186.247.122:8443#LAX-10.47MB/s-延迟: 438.64ms
43.159.5.120:443#RUH-10.45MB/s-延迟: 208.97ms
38.147.172.53:443#HKG-10.26MB/s-延迟: 83.89ms
38.59.249.55:8443#SJC-10.04MB/s-延迟: 195.33ms
37.123.193.24:38174#SJC-9.75MB/s-延迟: 327.57ms
68.64.178.184:443#HKG-9.70MB/s-延迟: 66.68ms
37.123.192.91:16490#SJC-9.51MB/s-延迟: 211.86ms
185.148.13.163:36750#SJC-9.40MB/s-延迟: 225.40ms
103.97.201.37:443#HKG-9.15MB/s-延迟: 236.86ms
38.207.176.130:443#HKG-9.01MB/s-延迟: 89.27ms
203.168.131.113:3389#NRT-8.75MB/s-延迟: 134.71ms
37.123.193.44:8080#SJC-8.73MB/s-延迟: 216.06ms
20.2.9.133:443#HKG-8.71MB/s-延迟: 246.28ms
156.238.228.100:443#LAX-8.29MB/s-延迟: 195.35ms
151.243.229.150:443#HKG-8.02MB/s-延迟: 247.31ms
167.148.203.46:10000#HKG-8.00MB/s-延迟: 250.42ms
68.64.179.129:443#HKG-7.28MB/s-延迟: 135.07ms
45.32.251.225:2053#NRT-7.27MB/s-延迟: 282.08ms
27.50.48.69:2083#LAX-7.20MB/s-延迟: 200.75ms
149.104.27.213:443#HKG-7.02MB/s-延迟: 69.36ms
149.104.25.189:2096#HKG-7.00MB/s-延迟: 90.22ms
45.76.76.222:8443#LAX-6.84MB/s-延迟: 203.24ms
68.64.179.129:443#HKG-6.67MB/s-延迟: 74.09ms
68.64.178.52:443#HKG-6.66MB/s-延迟: 69.73ms
43.154.51.232:8443#HKG-6.52MB/s-延迟: 63.40ms
85.155.176.105:8443#SIN-6.32MB/s-延迟: 230.96ms
83.229.123.121:443#HKG-6.17MB/s-延迟: 83.12ms
43.135.98.164:443#HKG-5.87MB/s-延迟: 35.64ms
108.165.255.81:443#HKG-5.79MB/s-延迟: 183.09ms
45.32.86.206:8443#LAX-5.72MB/s-延迟: 198.33ms
85.155.176.130:8443#SIN-5.18MB/s-延迟: 362.76ms
23.254.219.232:8443#LAX-4.22MB/s-延迟: 401.63ms
31.58.226.196:2053#SJC-4.14MB/s-延迟: 193.94ms
85.155.176.11:8443#SIN-3.99MB/s-延迟: 394.27ms
45.63.51.177:8443#LAX-3.94MB/s-延迟: 271.14ms
64.186.233.26:13691#LAX-3.89MB/s-延迟: 292.71ms
85.155.190.250:443#AMS-3.78MB/s-延迟: 274.49ms
143.14.59.121:2087#FRA-3.69MB/s-延迟: 235.82ms
43.161.214.126:2053#HKG-3.28MB/s-延迟: 80.38ms
31.57.224.190:19343#SIN-3.15MB/s-延迟: 247.87ms
67.215.241.35:8443#LAX-3.03MB/s-延迟: 392.52ms
45.89.232.128:443#NRT-2.58MB/s-延迟: 179.23ms
101.32.41.107:443#HKG-2.49MB/s-延迟: 53.16ms
45.131.179.106:8443#LAX-2.08MB/s-延迟: 206.48ms
