23.254.219.232:8443#美国-11.30MB/s-延迟: 204.23ms
38.55.198.124:2053#美国-13.23MB/s-延迟: 39.81ms
38.95.78.154:443#美国-18.86MB/s-延迟: 153.39ms
64.186.240.9:8443#美国-14.04MB/s-延迟: 156.12ms
64.49.28.188:8443#美国-14.19MB/s-延迟: 162.31ms
45.142.126.231:443#日本东京-15.93MB/s-延迟: 90.98ms
45.142.127.27:443#日本东京-12.34MB/s-延迟: 97.88ms
45.32.251.225:2053#日本东京-3.57MB/s-延迟: 205.54ms
45.78.53.202:443#日本东京-19.61MB/s-延迟: 96.38ms
45.89.232.128:443#日本东京-10.03MB/s-延迟: 97.63ms
5.223.51.84:443#新加坡-10.43MB/s-延迟: 227.30ms
5.223.52.82:443#新加坡-13.11MB/s-延迟: 228.31ms
5.223.59.9:443#新加坡-10.53MB/s-延迟: 240.75ms
5.223.60.212:443#新加坡-9.54MB/s-延迟: 228.75ms
5.223.93.126:8443#新加坡-7.89MB/s-延迟: 226.97ms
23.249.18.189:443#香港-17.87MB/s-延迟: 167.09ms
43.247.132.74:2053#香港-1.98MB/s-延迟: 44.15ms
68.64.183.37:443#香港-10.94MB/s-延迟: 38.52ms
91.110.174.169:8443#香港-89.71MB/s-延迟: 34.97ms
91.110.174.173:8443#香港-80.38MB/s-延迟: 35.62ms
